id,number_anno,name_ru,name_kz,ref_trade_methods_id,publish_date,start_date,end_date,total_sum,ref_buy_status_id,org_bin,system_id,index_date
1,5fef101d-0457-4de7-b997-ae61cd40db67,Поставка бумаги формата A4,A4 форматындағы қағаз жеткізу,7,2025-07-06,2024-08-25,2025-09-15,1815377,5,994190990465,3,2025-08-02 19:27:24
2,412293b0-49a3-4173-a749-7086c36b2b0f,Поставка тонера и картриджей для принтеров,Принтерлерге арналған тонер мен картридждерді жеткізу,1,2023-04-03,2023-09-08,2025-04-01,6763080,2,726936576937,3,2025-05-31 14:30:15
3,4c6c43ba-8905-405a-8ab4-148871345bd1,Поставка офисной мебели,Офис жиһазын жеткізу,3,2024-08-20,2025-10-26,2023-04-30,2313527,3,876164949153,3,2024-03-11 16:44:06
4,281a277c-89e4-45d8-a71a-d2b386c8e3e8,Поставка канцелярии,Кеңсе тауарларын жеткізу,2,2025-01-07,2025-11-03,2025-04-10,1799048,4,746034716030,3,2023-03-17 08:23:31
5,9c7c1388-a99d-4ccd-a596-a30e2b65db56,Обслуживание и ремонт лифтов,Лифттарды күтіп-ұстау және жөндеу,3,2025-09-27,2024-01-27,2023-04-19,1977924,5,706806407543,3,2024-09-07 23:10:48
6,a7f71efb-cb8a-4f1f-8990-d5f9d7d7b4cd,Поставка компьютерной техники,Компьютер техникасын жеткізу,1,2024-08-30,2025-01-21,2025-10-30,5102587,4,158733391567,3,2025-05-04 20:09:56
7,c9e65a15-0384-4bf5-a293-24b52a460fae,Поставка ноутбуков,Ноутбуктарды жеткізу,7,2025-04-07,2023-03-10,2023-02-04,905323,2,701404682942,3,2024-02-14 20:01:41
8,6122cb39-9152-4fb5-a878-0f57a6ce0d34,Поставка сетевого оборудования,Желілік жабдықтарды жеткізу,7,2022-12-19,2024-08-01,2024-09-28,6052255,1,272671634673,3,2023-11-17 13:37:05
9,e0d44a67-f8bf-438d-a39c-76e9ac25c51f,Поставка и монтаж видеонаблюдения,Бейнебақылау жүйелерін жеткізу және орнату,5,2024-10-31,2023-09-08,2024-04-21,5141566,2,759542147469,3,2023-08-21 11:25:12
10,37742f59-ea2a-457d-8dcc-9cd3c41fd859,Поставка систем контроля доступа,Кіру бақылау жүйелерін жеткізу,5,2023-08-16,2025-03-31,2023-12-10,32238,4,148456568212,3,2024-09-13 13:33:30
11,6f8937c1-ecaf-4006-bd47-8297b639cbfa,Ремонт офисных помещений,Офис кеңселерін жөндеу,8,2023-06-02,2025-01-10,2023-02-10,3413114,3,499708855834,3,2023-01-02 16:23:17
12,2750b2b5-1fe6-45f1-8b6a-6a378f3b126a,Поставка фасадных материалов,Фасад материалдарын жеткізу,8,2025-08-25,2023-09-29,2024-06-23,7379049,1,464824374374,3,2024-08-19 12:45:32
13,b84a621e-0bc3-4185-94c6-204ff46b5fe2,Поставка электрооборудования,Электр құрал-жабдықтарын жеткізу,1,2022-12-29,2025-03-21,2024-02-09,1055652,5,108523219935,3,2025-08-24 16:18:57
14,7b5ab747-e913-4473-9a22-2daed71d488e,Поставка дизель-генераторов,Дизель генераторларын жеткізу,7,2023-08-10,2024-12-07,2023-11-22,969997,2,222681376511,3,2023-08-25 02:48:55
15,a41e73ee-3561-4c64-836e-b1468d326734,Поставка оргтехники,Офистік техника жеткізу,6,2023-02-16,2023-11-30,2024-09-22,3878253,4,173769048646,3,2023-11-11 06:28:33
16,43cb28cc-777b-407c-906e-25bad75c3372,Вывоз строительного мусора,Құрылыс қалдықтарын шығару,4,2023-01-30,2024-11-28,2025-02-25,9585160,1,578629986135,3,2023-06-29 22:57:05
17,2dc19aaf-a3cb-4e4b-8614-919d41f876c8,Поставка медицинского кислорода,Медициналық оттекті жеткізу,9,2023-01-22,2023-08-22,2022-12-27,2707693,5,194629589426,3,2023-08-04 08:09:12
18,ab080fca-4246-49b6-9801-a390e3c7011c,Поставка средств индивидуальной защиты,Жеке қорғаныс құралдарын жеткізу,10,2025-08-10,2024-12-05,2023-09-02,1299671,2,877696643834,3,2024-01-18 06:24:39
19,5818db96-a312-4d81-b0f0-59d9d9ff356f,Поставка одноразовой медицинской посуды,Бір реттік медициналық ыдыс-аяқтарды жеткізу,2,2024-08-26,2023-01-13,2024-05-21,690809,3,310038534603,3,2024-10-11 23:45:02
20,c9e8d990-e15b-4eef-83e0-a2bc99a45ab7,Поставка лабораторного оборудования,Лаборатория жабдықтарын жеткізу,5,2023-06-04,2024-02-22,2024-02-22,8598154,5,287182686595,3,2024-04-18 01:59:39
21,af651a1c-44ef-4de0-a3a5-3a24d0edf54a,Поставка химических реагентов,Химиялық реактивтерді жеткізу,5,2024-03-05,2024-04-13,2025-05-05,9328982,4,435061445297,3,2025-11-02 17:30:07
22,a0df2d1b-e355-41ed-8892-b7a8b30a1e23,Поставка канцелярских наборов,Кеңсе жинақтарын жеткізу,9,2025-10-02,2023-04-17,2024-10-19,8850624,5,221886051191,3,2024-04-04 04:56:36
23,5ffb6489-c2f2-49dd-a7b8-ee8eab5d2c35,Поставка бумажных полотенец,Қағаз сүлгілерді жеткізу,5,2025-03-03,2023-11-12,2025-04-17,8201155,3,597372782489,3,2024-11-14 18:33:37
24,71a0dea7-2954-4563-8cf3-7e6e121f73e5,Поставка моющих средств,Жуғыш құралдарын жеткізу,1,2022-12-21,2024-02-16,2023-10-11,4501693,1,285195326446,3,2023-02-04 18:02:15
25,0f4af8a4-6fdd-402a-bd50-98852f7b9ba6,Клининговые услуги,Клининг қызметтері,1,2024-10-16,2025-02-11,2024-12-03,4663217,1,843455828132,3,2023-11-11 05:03:36
26,501eab67-a92c-4bbb-b9c8-53ce2bb08dca,Поставка дизельного топлива,Дизель отынын жеткізу,10,2024-02-07,2025-09-12,2024-09-12,6084582,2,893378937111,3,2025-09-12 09:30:31
27,70a89c06-ee87-489e-8a0a-c93a9da136dc,Поставка моторных масел,Мотор майларын жеткізу,10,2024-02-24,2024-06-25,2023-10-24,1470499,5,563894751463,3,2024-04-11 23:06:22
28,f0e9eb95-69b7-4b79-a11a-6fc36cc2e1d0,Поставка автозапчастей,Көлік бөлшектерін жеткізу,1,2023-07-14,2024-05-11,2025-07-12,3411837,1,677019181348,3,2025-01-25 00:50:50
29,4e9fb9d9-938e-4ba6-8e8d-ac8f86eda6f6,Аренда автобусов для персонала,Қызметкерлер үшін автобустарды жалға алу,4,2025-05-17,2024-09-03,2025-11-10,7774545,3,348425887511,3,2025-05-17 11:06:14
30,a0245738-a9e3-47b8-801e-dca1a1799309,Обслуживание отопительных котлов,Жылыту қазандықтарын техникалық қызмет көрсету,2,2025-04-27,2025-05-11,2023-07-24,7116433,3,642612884530,3,2024-03-18 18:35:04
31,d7514f93-2cfe-4008-b0e6-91945e183102,Поставка кондиционеров,Кондиционерлерді жеткізу,6,2025-05-20,2024-08-25,2025-04-29,4564568,5,106347438351,3,2023-07-29 09:32:13
32,a17b240d-9700-47a1-bd02-a0456daccf96,Поставка солнечных панелей,Күн панельдерін жеткізу,6,2023-03-02,2023-11-24,2023-04-12,1723565,1,780036612017,3,2023-12-04 01:04:39
33,ad44a42c-71ce-4bde-bcd1-8ec2a80ef012,Поставка складских стеллажей,Қойма сөрелерін жеткізу,6,2022-12-23,2023-08-21,2025-04-20,9379059,1,667085582265,3,2025-07-21 18:22:52
34,d1893dae-fea9-461b-aba9-a278dbb9e425,Поставка упаковочных материалов,Қаптама материалдарын жеткізу,7,2025-01-30,2023-11-09,2024-02-11,9043290,2,453355202818,3,2024-03-10 08:46:02
35,13438708-10d6-448f-a2a1-4d8f940f5984,Поставка пластиковых контейнеров,Пластикалық контейнерлерді жеткізу,2,2024-08-03,2023-01-05,2024-04-12,8080222,5,752080660456,3,2023-10-06 22:55:10
36,1af5c692-339c-45fb-ad43-893308100379,Поставка продуктов питания,Азық-түлік тауарларын жеткізу,9,2023-10-04,2025-04-17,2024-04-18,7527690,4,467038772085,3,2025-04-17 17:49:47
37,f9b43c74-5258-41a2-9697-f4bfbe1240e6,Кейтеринговые услуги,Кейтеринг қызметтері,3,2025-05-23,2024-12-08,2025-07-03,8800863,1,483993988309,3,2023-04-06 08:34:48
38,db7679a9-ad4c-41da-b87a-aad2ad1c966d,Аренда сцены и звукового оборудования,Сахна мен дыбыс жабдықтарын жалға беру,2,2023-01-23,2024-01-16,2023-08-05,9100114,3,158579452790,3,2025-11-13 15:14:45
39,89568469-d487-4c36-9153-57ab0f7634fe,Организация конференций,Конференцияларды ұйымдастыру,10,2022-11-28,2023-11-17,2025-01-16,4712878,5,170927650788,3,2025-11-21 15:49:14
40,1389507a-a577-4236-8be4-24d127f55465,Разработка корпоративного сайта,Корпоративтік сайтты әзірлеу,8,2023-07-12,2023-04-02,2022-12-12,8454219,4,349305871654,3,2024-07-01 21:42:06
41,69b66c90-aa8a-44f6-ad9a-ee6e26b4609c,Разработка мобильного приложения,Мобильді қосымшаны әзірлеу,8,2025-02-02,2023-11-23,2024-02-19,6991038,1,773763058535,3,2023-08-08 14:36:30
42,424b4355-2757-4ae5-a492-71bb581e7d26,Поставка программного обеспечения,Бағдарламалық қамтамасыз етуді жеткізу,1,2025-06-24,2025-10-22,2024-04-08,1731589,4,404207488246,3,2025-02-01 07:51:39
43,4e0e530b-e171-4272-8214-223c487a437f,Облачные услуги,Бұлтты қызметтер көрсету,7,2025-07-19,2023-10-31,2023-04-15,5425171,2,523811557110,3,2024-02-23 04:05:38
44,5300b095-7a60-4e1e-a697-8fea30e81e50,Услуги по кибербезопасности,Киберқауіпсіздік қызметтері,9,2023-02-15,2025-05-01,2025-02-25,7075448,3,866782384654,3,2023-03-17 05:59:51
45,b02aa258-7fa1-41f1-9e66-6cb77c078a36,Поставка серверного оборудования,Серверлік жабдықтарды жеткізу,2,2023-06-04,2023-09-26,2025-04-20,1581553,2,141474259952,3,2023-11-09 06:41:31
46,bb9b3082-79ba-494f-bd5c-32bc6d20fe2b,Поставка биометрических систем,Биометриялық жүйелерді жеткізу,2,2024-02-18,2025-07-13,2025-01-22,7202946,3,158698586965,3,2023-01-20 17:20:03
47,d1a03810-ab2a-48c3-ac92-123c13ea2a99,Поставка мебели для гостиниц,Қонақүйге арналған жиһазды жеткізу,2,2023-11-18,2025-05-20,2023-06-15,110522,3,737439421641,3,2025-10-24 03:46:38
48,8ee990e0-dc04-43f1-800a-4849acb6a783,Поставка текстиля для гостиниц,Қонақүй текстильдерін жеткізу,5,2024-12-09,2025-07-10,2024-01-18,5530227,2,502521926416,3,2024-05-16 07:57:49
49,a1c42bba-63c4-4093-a6c2-3173b8c374b9,Обучение по охране труда,Еңбек қорғау бойынша оқыту,8,2024-01-29,2023-03-05,2024-10-24,2004156,5,901466697985,3,2024-05-15 00:34:05
50,fa28efcb-37e7-4a42-bf80-e9cdf9f30221,Поставка учебных материалов,Оқу құралдарын жеткізу,1,2024-04-25,2024-01-27,2023-01-22,9007666,5,954501779998,3,2025-08-26 02:19:22
51,1c55b227-1386-4393-ad99-63747f260144,Поставка дорожных знаков,Жол белгілерін жеткізу,1,2024-12-17,2024-02-06,2025-03-03,1175649,1,489461654081,3,2024-04-09 07:49:14
52,67f1593f-aa8f-410d-8331-d03c4f803b70,Поставка уличного освещения,Көше жарықтандыруын жеткізу,8,2025-10-12,2024-05-05,2023-11-25,1778120,5,315057756288,3,2024-06-12 02:22:16
53,66de0242-7e4d-46b8-8ddc-e400106a9101,Монтаж детских площадок,Балалар ойын алаңдарын орнату,7,2022-12-30,2025-10-30,2024-04-16,480826,1,437514482724,3,2022-12-17 02:21:04
54,98da759c-5e5c-4a65-a5c7-4575ecaaef2e,Благоустройство территории,Аумақты абаттандыру,10,2023-12-22,2024-05-27,2023-11-03,122111,3,309865371809,3,2025-04-16 15:46:01
55,4cbd7d22-289c-46c1-b341-259f0d7ddfd6,Поставка семян и удобрений,Тұқымдар мен тыңайтқыштарды жеткізу,10,2024-10-09,2023-05-28,2024-05-27,2762107,2,628075986859,3,2024-11-30 03:34:41
56,91c930c3-744c-4089-83fa-846f12ced7f0,Поставка сельхозтехники,Агро техниканы жеткізу,5,2024-02-19,2024-10-16,2023-05-26,7131384,1,348954858706,3,2022-11-28 19:16:21
57,2bd687d3-2f26-415e-a0df-28d39089ba04,Поставка кормов,Малға арналған жем жеткізу,1,2024-02-08,2023-03-13,2023-12-11,5193267,5,983080369842,3,2024-01-19 18:13:39
58,83de341a-eada-455d-8540-13ace1c41392,Ветеринарные услуги,Ветеринарлық қызметтер көрсету,5,2024-10-02,2023-12-14,2025-05-28,6539356,3,737445992614,3,2025-08-07 11:33:12
59,d445e024-fb16-4e27-81fa-93d832494820,Поставка упаковки с логотипом,Логотипі бар қаптаманы жеткізу,9,2024-05-11,2023-05-31,2023-07-04,7439876,2,222222393047,3,2023-11-30 18:39:04
60,31a1af1e-0842-457f-b89e-7aa01a23cdb0,Маркетинговые услуги,Маркетинг қызметтері,3,2024-06-13,2024-04-08,2024-07-07,5634385,3,766182989433,3,2023-01-30 09:26:27
61,f050d1a8-2e23-4fec-97cf-3c896e6b3679,Поставка рекламных стендов,Жарнама стендтерін жеткізу,9,2025-01-27,2025-03-08,2023-07-28,463971,4,686648936099,3,2025-07-25 20:56:53
62,365e1903-67ca-4a09-97d5-76124d061089,Печать полиграфии,Полиграфиялық өнімдерді басып шығару,3,2023-06-08,2024-03-04,2024-01-07,5284293,4,923424662358,3,2023-07-17 19:39:27
63,c8cd5e23-2fd5-47a4-b8b8-71c0eb0111ac,Печать сувениров,Сувенирлерді басып шығару,7,2024-05-05,2023-09-14,2025-06-29,5814088,5,715365692150,3,2025-07-17 11:03:40
64,c0fe1bd2-2f5b-4516-a04a-e08fe7710a8e,Переводческие услуги,Аударма қызметтері,7,2023-03-08,2024-08-29,2023-04-14,4198751,1,859409847020,3,2023-07-24 00:37:48
65,ff2d6a7c-15f9-4581-8588-99ff2513c06f,Услуги устного перевода,Ауызша аударма қызметтері,8,2023-01-04,2025-05-09,2025-02-18,3132895,3,263920892192,3,2025-10-07 07:48:23
66,47c7034f-5360-4199-a51c-bae5eb9d208a,Аудиторские услуги,Аудиторлық қызметтер көрсету,6,2023-12-27,2023-03-05,2024-04-21,8436721,5,184079521537,3,2022-12-08 13:19:46
67,2d23768d-a0bb-4833-a980-fca7916e5849,Юридическое сопровождение,Құқықтық қолдау көрсету,10,2023-12-25,2023-04-17,2023-05-28,8736720,1,595757286022,3,2023-10-17 05:15:38
68,fac6e4c4-da4f-4899-b139-74d5774dbe03,Налоговое консультирование,Салық бойынша кеңес беру,5,2025-08-21,2025-07-01,2025-09-21,7774186,4,408462952187,3,2024-01-24 21:36:34
69,242bb555-46d5-46ba-8298-4bbc7f23edd6,Охранные услуги,Охраналық қызметтер көрсету,5,2024-07-09,2025-02-01,2023-11-28,9072005,3,788488879422,3,2023-08-25 05:51:31
70,74454efb-4528-4396-81a6-7dfd61b64431,Поставка противопожарного оборудования,Өртке қарсы жабдықтарды жеткізу,3,2025-05-22,2025-01-22,2024-06-15,2392866,4,531579099272,3,2024-07-13 00:49:22
71,9e8c59be-a949-4773-8aa7-bc744b6e1593,Противопожарные тренировки,Өртке қарсы жаттығулар өткізу,6,2024-06-13,2023-05-15,2024-02-10,5763520,3,572430171239,3,2024-11-22 17:55:46
72,309cf223-d0a7-4bdd-b5f8-360fa44dd63b,Поставка измерительных приборов,Өлшеу аспаптарын жеткізу,6,2023-06-30,2024-06-22,2023-10-04,6400687,5,530378435829,3,2024-08-25 04:44:55
73,432f24ef-f60f-4156-b0c4-42ea65999a24,Поставка дезинфицирующих средств,Дезинфекция құралдарын жеткізу,7,2024-01-13,2024-09-07,2025-06-23,4481491,4,678045254037,3,2024-06-19 05:22:49
74,fad52962-b0fa-4c36-ae2b-659c0c8c57ec,Поставка холодильного оборудования,Тоңазытқыш жабдықтарын жеткізу,1,2025-01-07,2022-12-01,2023-03-31,7184568,3,207531822810,3,2024-09-10 06:55:10
75,6e428afb-a339-4565-a46f-fb1d9c645916,Поставка торгового оборудования,Сауда жабдықтарын жеткізу,5,2023-04-18,2024-12-06,2025-07-27,3262682,2,544155894595,3,2024-05-19 18:51:22
76,616eeacb-9785-46d3-b694-6ebcf8e781d8,Поставка POS-терминалов,POS-терминалдарды жеткізу,8,2025-07-28,2024-03-01,2024-12-23,4686360,1,731345193072,3,2023-05-17 09:30:37
77,73196ca9-5c90-48df-bb5b-9c9acdbca470,Поставка банкоматов,Банкоматтарды жеткізу және орнату,9,2023-09-17,2023-02-09,2024-11-20,4093157,5,845802938817,3,2025-08-09 23:04:08
78,587ca757-8701-4af7-9b56-5b4509a12106,Поставка производственного сырья,Өндірістік шикізатты жеткізу,7,2024-05-26,2025-09-22,2023-12-25,2935766,2,599982151235,3,2023-02-18 05:44:06
79,71d7d157-1490-4519-a961-492529ba8fb7,Поставка упаковочных мешков,Орауыш қаптарды жеткізу,10,2025-04-29,2024-11-09,2023-05-27,4025108,5,277779552603,3,2024-10-22 14:24:03
80,ad0c96ce-8633-4d61-aff5-d09771b570f7,Поставка промышленного оборудования,Өнеркәсіптік жабдықтарды жеткізу,3,2025-10-16,2023-11-17,2023-04-09,1506368,5,493898378456,3,2024-09-01 21:43:08
81,33824a87-e2e1-427c-9a50-98cd93e998f1,Монтаж производственной линии,Өндірістік желіні орнату,2,2025-01-26,2023-05-14,2023-10-13,8910145,1,667126986408,3,2025-03-26 06:54:46
82,02c2c60a-263f-40fe-b947-e25de6ed84ac,Поставка фильтров для воды,Су тазалау сүзгілерін жеткізу,8,2024-07-20,2025-09-28,2022-12-24,1971025,1,746222311639,3,2023-09-20 13:11:58
83,9c5070ad-62d4-4c43-9abe-a6d04cb37cc2,Поставка систем водоподготовки,Су дайындау жүйелерін жеткізу,9,2025-10-29,2025-09-30,2025-02-06,9634997,2,710731028209,3,2023-10-23 06:11:29
84,7dc473fe-a7e1-42c7-aa66-02e8d56f8787,Поставка лабораторных расходников,Лабораториялық шығын материалдарын жеткізу,4,2022-11-26,2023-04-09,2023-06-04,6915549,5,992665259359,3,2023-03-11 01:01:26
85,482029ce-7978-44b6-ba77-ff4b161855e3,Поставка оборудования для мониторинга выбросов,Шығарылымдарды мониторингтеу жабдықтарын жеткізу,4,2024-06-24,2025-04-24,2022-12-01,880791,3,934720185073,3,2023-01-21 01:56:59
86,2a7976d1-af7e-4a8b-9888-55fca26571b9,Поставка средств связи,Байланыс құралдарын жеткізу,2,2025-08-23,2025-01-25,2024-03-05,4523628,3,834609462179,3,2024-12-20 08:42:58
87,68255ee1-5b1e-4ac2-9e01-8d54c939bfe1,Поставка мобильных устройств,Мобильді құрылғыларды жеткізу,7,2023-08-12,2025-11-22,2024-07-09,1555109,1,455296348688,3,2022-12-02 23:41:46
88,281f7e6e-928e-4c06-a387-4ebb3147a421,Поставка корпоративных подарков,Корпоративтік сыйлықтар жеткізу,5,2025-03-28,2024-09-19,2023-07-28,6759392,4,874352013335,3,2023-09-19 16:04:53
89,263d20e4-c94e-453a-90e4-327d8b799ca2,Рекрутинговые услуги,Рекрутинг қызметтері көрсету,7,2023-06-06,2025-09-30,2025-07-07,3934614,2,248152826046,3,2025-06-29 04:53:30
90,604b9844-1cdc-498c-9414-92ce896e8896,Проведение тренингов,Тренингтер өткізу,1,2023-09-03,2025-10-21,2024-12-30,1584925,2,154184829348,3,2023-01-04 23:44:11
91,af6dfcf6-d05f-4247-bea5-24cbdd72f471,Поставка спецодежды,Арнайы жұмыс киімдерін жеткізу,10,2023-09-22,2024-08-25,2025-07-02,6555871,4,663109735938,3,2025-08-21 00:05:21
92,547e7864-2b5d-44b7-9846-8b0c954fad5a,Поставка печатей и штампов,Мөрлер мен штамптарды жеткізу,5,2022-12-01,2023-05-19,2024-05-26,7412466,5,524193396430,3,2023-12-06 06:30:34
93,c708097b-55a1-4f9f-a0dd-66b6f0907fad,Поставка медоборудования,Медициналық құрал-жабдықтарды жеткізу,9,2024-10-07,2025-02-09,2024-08-05,9926835,1,516093455935,3,2025-03-21 04:29:16
94,b0ce1261-ef29-473d-94e4-c487d6c6fbc7,Инспекция и сертификация продукции,Өнімді тексеру және сертификаттау қызметтері,6,2024-12-03,2025-02-23,2023-01-24,5668650,4,519892622147,3,2023-12-18 06:09:30
95,efff6092-3cca-45a5-b2d7-e74dc23f3777,Поставка ИБП (UPS),ИБП (UPS) жеткізу,3,2023-06-23,2024-01-28,2025-04-12,5412763,3,228161360733,3,2023-05-14 12:10:04
96,371053ed-f54f-436b-9335-1716e62b5eb4,Обслуживание компьютерной техники,Компьютер техникасын техникалық қызмет көрсету,8,2022-12-18,2024-11-23,2025-04-06,7289858,5,468059450422,3,2025-10-19 12:23:57
97,c63133ad-2266-4a18-9d29-422377c9c27a,Поставка систем видеоконференций,Бейнеконференция жүйелерін жеткізу,4,2023-06-26,2023-05-19,2023-03-02,6033166,1,389924060352,3,2023-07-04 22:14:35
98,9fa8b6fc-27fa-4d7d-9235-cf6ecdc77ae7,Поставка мебели для приёма пациентов,Пациент қабылдау бөлмелері үшін жиһаз жеткізу,10,2024-04-23,2024-02-18,2024-11-09,2569508,1,285855935241,3,2023-09-19 22:45:37
99,7af6d574-3786-4407-9e34-479a075008a4,Поставка дорожной и коммунальной техники,Жол және коммуналдық техника жеткізу,2,2025-07-20,2024-04-24,2024-04-06,7730295,2,439187349295,3,2025-05-29 12:56:19
100,0f8703d6-5509-4e40-a9c1-6f312aa7210f,Поставка расходных материалов для печати,Басып шығару шығын материалдарын жеткізу,6,2024-05-29,2023-06-11,2023-02-18,8347252,1,240099902022,3,2024-12-23 12:39:26
